deal_id,po_number,Create Date - Daily,Quantity,Amount in company currency,Client Type,Deal Type,Special Order Type,Deal Stage,Automation Tools,Revisions,Deal Source CA,Number of Associated Contacts,Design Difficulty
3951821731,17578,1/6/2021,150,1077,Distributor,Existing Business,,Closed and Won,,,,1,Low 
3951126325,17579,1/6/2021,85,765,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated
3951231121,17582,1/6/2021,64,690,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3958496997,17584,1/7/2021,360,2556,Wholesale,Existing Business,,Closed and Won,,,,1,
3956831498,17589,1/7/2021,100,1050,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3961577748,17590,1/8/2021,190,1807,Wholesale,Existing Business,,Closed and Won,,,,4,
3961784031,17595,1/8/2021,240,1819.2,Wholesale,Existing Business,,Closed and Won,,,,2,
3961779191,17597,1/8/2021,85,714,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,
3937022223,17598,1/4/2021,360,2466,Distributor,Existing Business,,Closed and Won,,,,1,Low 
3957202896,17601,1/7/2021,104,1092,Distributor,Existing Business,,Closed and Won,,,,2,Low 
3952730447,17602,1/6/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3963322984,17603,1/8/2021,136,1146.48,Distributor,Existing Business,,Closed and Won,,,,2,
3962346169,17604,1/8/2021,2000,11180,Distributor,Existing Business,,Closed and Won,,,,1,
3958404451,17608,1/7/2021,412,2698.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low 
3971944107,17609,1/11/2021,240,1541.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
3971833252,17610,1/11/2021,500,2560,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3972127526,17611,1/11/2021,100,1050,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3946257331,17612,1/5/2021,60,887.4,Direct,Existing Business,,Closed and Won,,,,2,
3973065935,17615,1/11/2021,240,2500.8,Direct,Existing Business,,Closed and Won,,,,1,
3938638447,17619,1/4/2021,120,861.6,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),,1,Medium 
3960442011,17620,1/8/2021,1663,9729.42,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,3,Not Rated
3973577780,17621,1/11/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3952411855,17622,1/6/2021,4,0,Distributor,Existing Business,,Closed and Won,,Minor (Other),Pre-Hubspot Contact,2,Medium 
3931199462,17623,1/2/2021,60,923.61,Direct,New Business,,Closed and Won,New Website Inquiry,,,2,Low 
3976737835,17624,1/12/2021,250,2430,Direct,Existing Business,,Closed and Won,,,,1,
3951478601,17625,1/6/2021,105,1128.75,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3952726841,17627,1/6/2021,6,543,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
3952738780,17628,1/6/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3951623798,17629,1/6/2021,500,3075,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,
3973551159,17630,1/11/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,
3975991243,17631,1/12/2021,201,1644.18,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3977354085,17633,1/12/2021,60,558,Distributor,Existing Business,,Closed and Won,,,,1,
3962477492,17634,1/8/2021,60,498,Distributor,Existing Business,,Closed and Won,,,,2,
3946011380,17635,1/5/2021,60,902.4,Direct,Existing Business,,Closed and Won,,,,1,
3978468976,17637,1/12/2021,120,1708.8,Direct,Existing Business,,Closed and Won,,,,1,
3977259030,17638,1/12/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,Not Rated
3958482674,17639,1/7/2021,300,2199,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Pre-Hubspot Contact,3,Medium 
3958372183,17641,1/7/2021,134,1096.12,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3971866537,17643,1/11/2021,240,2820,Direct,New Business,,Closed and Won,Knitted Mockup Tool,,,1,Knitted Mockup Tool
3978474181,17644,1/12/2021,60,648,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3972236208,17645,1/11/2021,120,1445.01,Direct,Existing Business,,Closed and Won,,,,1,
3981861528,17646,1/13/2021,120,1635.2,Direct,Existing Business,,Closed and Won,,,,1,
3962428381,17647,1/8/2021,1000,7527.81,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,1,Low 
3946574712,17648,1/5/2021,450,2835,Distributor,Existing Business,,Closed and Won,,Minor (Other),Client Referral,4,Low 
3982693502,17651,1/13/2021,250,1832.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3983087445,17652,1/13/2021,4375,22400,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated
3956317897,17653,1/7/2021,200,1636,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),,1,Medium 
3961768990,17654,1/8/2021,60,648,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3982965765,17655,1/13/2021,300,1989,Distributor,Existing Business,,Closed and Won,,,,1,
3938548084,17657,1/4/2021,240,1819.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated
3951291491,17658,1/6/2021,60,648,Distributor,Existing Business,,Closed and Won,,Minor (Other),,2,
3977415235,17659,1/12/2021,410,2911,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3973513713,17660,1/11/2021,205,1728.15,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3986821198,17661,1/14/2021,60,887.4,Direct,Existing Business,,Closed and Won,,,,1,
3962343899,17662,1/8/2021,60,630,Distributor,Existing Business,,Closed and Won,,Minor (Other),Pre-Hubspot Contact,3,Low 
3949710641,17663,1/6/2021,60,125.25,Direct,New Business,,Closed and Won,,,,1,Low 
3986759714,17664,1/14/2021,180,1845,Wholesale,Existing Business,,Closed and Won,,,,2,
3989914677,17665,1/14/2021,505,3035.05,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3977316744,17668,1/12/2021,244,2019.92,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,2,Low 
3990400523,17672,1/14/2021,4,368,Direct,Existing Business,,Closed and Won,,,,1,
3990338342,17675,1/14/2021,185,1390.95,Distributor,Existing Business,,Closed and Won,,,,2,
3990305299,17676,1/14/2021,120,1011.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3990004829,17677,1/14/2021,60,645,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3993533918,17678,1/15/2021,60,630,Distributor,Existing Business,,Closed and Won,,,,1,
3972385038,17679,1/11/2021,105,1128.75,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),Client Referral,2,Low 
3951469850,17680,1/6/2021,240,1651.2,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,3,Not Rated
3951701328,17681,1/6/2021,240,3345.6,Direct,New Business,,Closed and Won,,,,5,Medium 
3990903848,17682,1/14/2021,100,1075,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3976794035,17683,1/12/2021,240,2332.8,Direct,New Business,,Closed and Won,New Website Inquiry,,,1,Medium 
3973294779,17684,1/11/2021,202,1470.56,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3982659126,17686,1/13/2021,360,3609.72,Direct,Existing Business,,Closed and Won,,,,1,Medium 
3990954950,17688,1/14/2021,200,1636,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3987169985,17689,1/14/2021,60,648,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3995086205,17690,1/15/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3986847942,17691,1/14/2021,70,735,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3973107271,17692,1/11/2021,21,1121.57,Distributor,Existing Business,,Closed and Won,,,,3,High 
4002988255,17695,1/17/2021,50,303.96,Direct,Existing Business,,Closed and Won,,,,2,
3996179525,17696,1/15/2021,1840,10285.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated
3972887459,17697,1/11/2021,260,1723.8,Distributor,Existing Business,,Closed and Won,,Minor (Other),Client Referral,3,Low 
3948426195,17699,1/6/2021,240,3014.66,Direct,New Business,,Closed and Won,Sample Request,Minor (Packaging),,1,Knitted Mockup Tool
3996923106,17700,1/15/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,3,
3996334429,17701,1/15/2021,145,1186.1,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3990880004,17702,1/14/2021,158,1292.44,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3990869789,17703,1/14/2021,80,840,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
4003347122,17704,1/17/2021,100,1050,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3996292291,17705,1/15/2021,250,1832.5,Distributor,Existing Business,,Closed and Won,,,,1,Low 
4007360498,17706,1/18/2021,1800,11107.21,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Client Referral,1,
3996674052,17708,1/15/2021,170,1700,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
4008257284,17709,1/18/2021,240,1759.2,Distributor,Existing Business,,Closed and Won,,,,2,
4008303659,17710,1/18/2021,60,564,Distributor,Existing Business,,Closed and Won,,,,2,
3993697690,17712,1/15/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
4006688461,17713,1/18/2021,375,2568.75,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
4007966848,17716,1/18/2021,60,648,Wholesale,Existing Business,,Closed and Won,,,,1,
3951393245,17717,1/6/2021,60,887.4,Direct,Existing Business,,Closed and Won,,,Client Referral,2,Medium 
3988452866,17718,1/14/2021,250,1832.5,Distributor,Existing Business,,Closed and Won,,,,1,Medium 
4011122320,17719,1/19/2021,175,1256.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
4012366610,17720,1/19/2021,100,1050,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3973475781,17721,1/11/2021,120,981.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3981617425,17722,1/13/2021,70,927.3,Direct,Existing Business,,Closed and Won,,,,2,
3990444871,17723,1/14/2021,300,2199,Distributor,Existing Business,,Closed and Won,,,Paid Search,3,Medium 
4011886947,17724,1/19/2021,120,1011.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4006908002,17725,1/18/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
4014870555,17726,1/19/2021,61,549,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4006911114,17729,1/18/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3987279599,17730,1/14/2021,125,1022.5,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Medium 
3994709726,17732,1/15/2021,120,1011.6,Distributor,Existing Business,,Closed and Won,,,,3,Low 
4015009190,17733,1/19/2021,150,1077,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
4014825014,17734,1/19/2021,130,758.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
4018733158,17736,1/20/2021,120,861.6,Distributor,Existing Business,,Closed and Won,,,,1,
4018715984,17737,1/20/2021,120,1041.6,Distributor,Existing Business,,Closed and Won,,,,2,
3990010468,17738,1/14/2021,120,861.6,Distributor,Existing Business,,Closed and Won,,,,1,Low 
3951107504,17740,1/6/2021,6,118,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),Event in the Past Year,1,Medium 
4019474201,17741,1/20/2021,60,558,Distributor,Existing Business,,Closed and Won,,,,1,
3996146911,17743,1/15/2021,251,1839.83,Distributor,Existing Business,,Closed and Won,,Minor (Other),,3,Low 
3961716311,17744,1/8/2021,360,2466,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),Pre-Hubspot Contact,2,Medium 
4017867899,17745,1/20/2021,60,797.4,Direct,New Business,,Closed and Won,New Website Inquiry,,,1,Knitted Mockup Tool
3994870714,17746,1/15/2021,155,1306.65,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),,1,Not Rated
3988865810,17747,1/14/2021,180,1193.4,Distributor,New Business,,Closed and Won,,Minor (Other),,1,Not Rated
3996511772,17748,1/15/2021,180,1472.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3984660575,17749,1/13/2021,180,2264.4,Direct,Existing Business,,Closed and Won,,Minor (Other),,1,Medium 
4011585575,17750,1/19/2021,70,1162.8,Direct,Existing Business,,Closed and Won,,,Paid Search,2,
3990041173,17751,1/14/2021,750,4642.5,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Pre-Hubspot Contact,2,Not Rated
3994877243,17753,1/15/2021,160,2278.4,Direct,Existing Business,,Closed and Won,New Website Inquiry,,,1,Low 
3982839089,17754,1/13/2021,500,4340,Distributor,New Business,,Closed and Won,,Minor (Other),,1,Not Rated
4019670147,17755,1/20/2021,300,3126,Direct,Existing Business,,Closed and Won,,,,1,Low 
4006887649,17756,1/18/2021,143,1169.74,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3993663353,17757,1/15/2021,155,1267.9,Distributor,Existing Business,,Closed and Won,,Minor (Other),Pre-Hubspot Contact,3,Low 
3971945240,17758,1/11/2021,240,1819.2,Wholesale,Existing Business,,Closed and Won,,Major (Other),,1,Medium 
4023309132,17759,1/21/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,
3946650370,17760,1/5/2021,60,558,Wholesale,Existing Business,,Closed and Won,,Minor (Other),Organic Search,1,Low 
4024412293,17761,1/21/2021,120,624,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4006881341,17762,1/18/2021,61,640.5,Distributor,Existing Business,,Closed and Won,,Minor (Other),Client Referral,2,Low 
3988810384,17763,1/14/2021,1500,7875,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Medium 
4017862573,17765,1/20/2021,321,2352.93,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,1,Low 
4027665487,17766,1/22/2021,120,1230,Direct,Existing Business,,Closed and Won,,,,1,
4027761724,17767,1/22/2021,80,720,Distributor,Existing Business,,Closed and Won,,,,1,
4012328361,17768,1/19/2021,120,861.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low 
3978541697,17769,1/12/2021,454,3223.4,Distributor,Existing Business,,Closed and Won,,Minor (Other),Client Referral,2,Low 
4013797133,17771,1/19/2021,325,2382.25,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,6,Low 
4006816821,17774,1/18/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Medium 
4029294730,17775,1/22/2021,190,1364.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
4013004773,17776,1/19/2021,1200,7008,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium 
4014889304,17778,1/19/2021,180,1626.6,Wholesale,Existing Business,,Closed and Won,,,Direct Traffic,1,Not Rated
4017826348,17780,1/20/2021,60,540,Distributor,Existing Business,,Closed and Won,,,,3,Low 
4023083581,17781,1/21/2021,105,1102.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
4039510072,17783,1/25/2021,250,2282.5,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Pre-Hubspot Contact,4,
3986865180,17784,1/14/2021,685,4835.85,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),ESP Central,2,Low 
4013212349,17785,1/19/2021,80,955.2,Direct,New Business,,Closed and Won,,Minor (Other),,1,Low 
4029171686,17786,1/22/2021,60,797.4,Direct,Existing Business,,Closed and Won,,,,1,
4019365380,17787,1/20/2021,215,1758.7,Distributor,Existing Business,,Closed and Won,,,,1,Low 
4040541669,17788,1/25/2021,2100,11739,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4008075491,17789,1/18/2021,500,1762.72,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated
4027981850,17790,1/22/2021,105,945,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
4022616551,17791,1/21/2021,60,630,Distributor,Existing Business,,Closed and Won,,,,3,Not Rated
4022996209,17792,1/21/2021,125,1022.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low 
4013642022,17793,1/19/2021,8,524.86,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Client Referral,2,Not Rated
4038424589,17794,1/25/2021,120,1011.6,Wholesale,Existing Business,,Closed and Won,,,Direct Traffic,1,Not Rated
3977344808,17795,1/12/2021,1440,8409.6,Wholesale,Existing Business,,Closed and Won,,Minor (Color Changes),,4,Medium 
3982565919,17796,1/13/2021,60,558,Wholesale,New Business,,Closed and Won,Knitted Mockup Tool,Major (Other),,2,Knitted Mockup Tool
3977444732,17797,1/12/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Medium 
4007008305,17798,1/18/2021,60,840.36,Direct,New Business,,Closed and Won,,,,1,Medium 
3982693130,17800,1/13/2021,6,0,Distributor,Existing Business,,Closed and Won,,Major (Other),Client Referral,5,Medium 
4044737686,17801,1/26/2021,60,1017.73,Direct,Existing Business,,Closed and Won,,,,1,
4043641813,17802,1/26/2021,150,1612.5,Direct,Existing Business,,Closed and Won,Knitted Mockup Tool,,,1,Knitted Mockup Tool
4044258560,17803,1/26/2021,1200,6708,Distributor,Existing Business,,Closed and Won,,,,1,
4044895218,17804,1/26/2021,120,536.4,Distributor,Existing Business,,Closed and Won,,,,1,
4044999383,17805,1/26/2021,387,2438.1,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4038602526,17806,1/25/2021,60,887.4,Direct,Existing Business,,Closed and Won,,,,2,
4044686229,17807,1/26/2021,1000,10199.85,Direct,Existing Business,,Closed and Won,,,,2,
3970618574,17808,1/11/2021,120,165,Direct,New Business,,Closed and Won,,,,1,Not Rated
4023269295,17809,1/21/2021,500,3645,Distributor,Existing Business,,Closed and Won,,,,2,Low 
4017802264,17810,1/20/2021,240,1591.2,Distributor,Existing Business,,Closed and Won,,,,3,Medium 
3977091659,17811,1/12/2021,840,6109.2,Wholesale,Existing Business,,Closed and Won,,,,2,Medium 
4046293055,17812,1/26/2021,3094,,,Existing Business,,Closed and Won,,,,0,
4046397190,17813,1/26/2021,1062,,,Existing Business,,Closed and Won,,,,0,
4028221868,17815,1/22/2021,200,1472,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated
4024484458,17816,1/21/2021,141,1153.38,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,1,Low 
4023802066,17817,1/21/2021,360,2466,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),,1,Low 
4047303638,17818,1/27/2021,240,2683.25,Direct,Existing Business,,Closed and Won,,,,1,
4044244302,17820,1/26/2021,78,819,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated
3956356630,17821,1/7/2021,300,2916,Direct,New Business,,Closed and Won,New Website Inquiry,,,1,Low 
3994810583,17822,1/15/2021,103,927,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low 
3981661089,17823,1/13/2021,120,1521.43,Direct,Existing Business,,Closed and Won,,Minor (Other),,3,Medium 
3977259421,17824,1/12/2021,120,1290,Direct,New Business,,Closed and Won,Sample Request,Minor (Other),,2,Low 
4003173515,17825,1/17/2021,180,1800,Distributor,Existing Business,,Closed and Won,Knitted Mockup Tool,Major (Other),,1,Knitted Mockup Tool
4048621985,17826,1/27/2021,200,508,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
4019290525,17827,1/20/2021,120,1080,Distributor,Existing Business,,Closed and Won,,,,1,Low 
4040538320,17828,1/25/2021,60,311.4,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),,2,Medium 
4017219747,17829,1/20/2021,150,1114.5,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low 
4023230524,17830,1/21/2021,720,6947.72,Direct,Existing Business,,Closed and Won,,New Assets,,3,Not Rated
4028272877,17831,1/22/2021,500,3280,Distributor,Existing Business,,Closed and Won,,Minor (Other),,2,Medium 
4045225244,17832,1/26/2021,120,981.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
4024550005,17833,1/21/2021,75,787.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,
3943377168,17834,1/5/2021,157,1284.26,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated
4049269895,17835,1/27/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
4039274557,17836,1/25/2021,120,1410,Direct,New Business,,Closed and Won,,,,2,Low 
4023814805,17837,1/21/2021,120,1708.8,Direct,Existing Business,,Closed and Won,,Minor (Other),,1,
4020662365,17838,1/20/2021,2004,11202.36,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Not Rated
4045047608,17840,1/26/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated
4008304211,17841,1/18/2021,120,981.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low 
4043084370,17842,1/26/2021,120,981.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
4053247541,17843,1/28/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,
4027620448,17844,1/22/2021,1375,11123.75,Direct,Existing Business,,Closed and Won,,,,3,Not Rated
4012395648,17846,1/19/2021,120,1011.6,Wholesale,Existing Business,,Closed and Won,,,,1,High 
3958560161,17847,1/7/2021,1200,7924.8,Distributor,Existing Business,,Closed and Won,,Minor (Packaging),Pre-Hubspot Contact,4,Low 
4016974128,17848,1/20/2021,120,0,Distributor,Existing Business,,Closed and Won,,,,2,Medium 
3938418353,17849,1/4/2021,400,2740,Distributor,Existing Business,,Closed and Won,,Minor (Other),Pre-Hubspot Contact,3,Low 
4023160881,17851,1/21/2021,480,3514.2,Wholesale,Existing Business,,Closed and Won,,,,2,
4027629601,17853,1/22/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated
4033509083,17855,1/23/2021,120,1410,Direct,New Business,,Closed and Won,New Website Inquiry,,,1,Low 
4043084353,17857,1/26/2021,100,1050,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Medium 
4045052710,17858,1/26/2021,105,1102.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated
4027723786,17859,1/22/2021,60,716.96,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low 
4038471274,17860,1/25/2021,120,926.77,Distributor,Existing Business,,Closed and Won,,Minor (Other),Pre-Hubspot Contact,1,Not Rated
4038641802,17861,1/25/2021,60,307.2,Distributor,Existing Business,,Closed and Won,,,,2,Low 
3942551112,17863,1/5/2021,200,1636,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Medium 
4060018911,17864,1/29/2021,120,1410,Direct,Existing Business,,Closed and Won,,,,2,
4040589705,17865,1/25/2021,450,3082.5,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low 
4058954864,17866,1/29/2021,105,1102.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3990005172,17868,1/14/2021,480,4536,Direct,New Business,,Closed and Won,,,,1,Medium 
4027783181,17869,1/22/2021,200,1636,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Medium 
4023054457,17871,1/21/2021,250,1832.5,Distributor,Existing Business,,Closed and Won,,Major (Other),Pre-Hubspot Contact,2,Not Rated
3996568991,17872,1/15/2021,230,1938.9,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Medium 
4063767492,17873,1/30/2021,120,891.6,Wholesale,Existing Business,,Closed and Won,,,,1,
4022667155,17874,1/21/2021,240,2495.25,Direct,New Business,,Closed and Won,New Website Inquiry,,,2,Medium 
4053304430,17875,1/28/2021,240,1819.2,Wholesale,New Business,,Closed and Won,,,,3,Medium 
4069970675,17877,2/1/2021,3,,Distributor,New Business,,Closed and Won,,,,0,
4070007610,17878,2/1/2021,,,Distributor,New Business,,Closed and Won,,,,0,
4050268136,17879,1/27/2021,300,3538.2,Direct,New Business,,Closed and Won,,,,2,Low 
4050246731,17880,1/27/2021,120,861.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
4069727673,17881,2/1/2021,180,1920,Wholesale,Existing Business,,Closed and Won,,,Organic Search,2,
4070255672,17882,2/1/2021,720,3686.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
4040912054,17883,1/25/2021,60,630,Distributor,Existing Business,,Closed and Won,,,,1,Low 
4028002841,17884,1/22/2021,120,644.4,Direct,New Business,,Closed and Won,New Website Inquiry,Minor (Other),,1,Not Rated
4070242975,17887,2/1/2021,360,2430.62,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated
4069980876,17889,2/1/2021,65,1024.67,Direct,New Business,,Closed and Won,Knitted Mockup Tool,,,1,Knitted Mockup Tool
4075521161,17890,2/2/2021,1200,5016,Direct,Existing Business,,Closed and Won,,,,1,
4070165793,17891,2/1/2021,82,889.7,Distributor,New Business,,Closed and Won,,,,3,Low 
4019335020,17892,1/20/2021,240,1651.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Not Rated
