po_number,SKU,chassis,mfp_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_at,hs_client_type,hs_dealtype,deal_id,Total SKU DZ on PO,unit_cost,fixed_cost,COGS int SKU Cost,COGS int SKU Cost exact,Total SKU on PO,cost_per_sku,COGS PKF Sock domestic SKU Cost
20771,40.0245895v2,40,,18,3,,9/7/2021,,,,5,,,,,60,3.74,269.28
20772,40.0245897v2,40,,18,3,,9/7/2021,,,,5,,,,,60,3.74,269.28
20773,10.0246113v1,10,,2,3,,8/27/2021,,,,36,,,,,430,2.41,1070.04
20775,40.0245715v1,40,,18,1,,8/27/2021,,,,10,,,,,120,1.79,236.28
20778,10.0237765v5,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20779,10.0245942v2,10,,2,3,,8/27/2021,,,,20,,,,,240,2.41,607.32
20779,10.0245941v2,10,,2,3,,8/27/2021,,,,20,,,,,240,2.41,607.32
20780,10.0247122v1,10,,2,1,,8/27/2021,,,,5,,,,,60,2.29,164.88
20782,10.0236742v1,10,,2,3,,8/27/2021,,,,10,,,,,120,2.58,340.56
20783,10.0247061v1,10,,2,1,,8/30/2021,,,,5,,,,,60,2.29,164.88
20785,10.0242479v2,10,,2,1,,8/30/2021,,,,5,,,,,60,2.29,164.88
20786,40.0247070v2,40,,18,3,,8/31/2021,,,,10,,,,,120,2.66,351.12
20787,10.0245694v1,10,,2,1,,8/31/2021,,,,63,,,,,750,1.63,1251.84
20788,10.029627v4,10,,2,3,,8/30/2021,,,,42,,,,,500,2.41,1243.56
20789,10.0246000v3,10,,2,3,,8/30/2021,,,,34,,,,,400,2.41,1012.2
20790,40.0246682v3,40,,18,1,,8/30/2021,,,,9,,,,,105,2.29,274.8
20791,10.0247295v1,10,,2,3,,8/30/2021,,,,13,,,,,150,2.41,404.88
20792,10.0216100v1,10,,2,1,,8/30/2021,,,,20,,,,,240,1.79,451.08
20792,10.0216102v1,10,,2,1,,8/30/2021,,,,20,,,,,240,1.79,451.08
20792,10.0216095v1,10,,2,1,,8/30/2021,,,,10,,,,,120,1.79,236.28
20792,10.0216094v1,10,,2,1,,8/30/2021,,,,10,,,,,120,1.79,236.28
20793,10.0210063v3,10,,2,3,,8/30/2021,,,,30,,,,,360,2.41,896.52
20794,10.0247285v1,10,,2,3,,8/30/2021,,,,22,,,,,255,2.41,665.16
20798,10.0245815v1,10,,2,1,,8/30/2021,,,,17,,,,,200,1.79,386.64
20799,40.0246003v2,40,,18,3,,8/31/2021,,,,25,,,,,300,2.49,776.88
20800,40.0241257v7,40,,18,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20800,40.0241257v3,40,,18,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20801,10.0227001v1,10,,2,4,,8/31/2021,,,,5,,,,,60,2.58,185.76
20802,10.0247378v1,10,,2,1,,8/30/2021,,,,21,,,,,250,1.79,472.56
20802,10.0247377v1,10,,2,1,,8/30/2021,,,,21,,,,,250,1.79,472.56
20806,10.0246101v1,10,,2,3,,9/1/2021,,,,42,,,,,500,2.41,1243.56
20807,44.0247529v2,44,,21,3,,8/31/2021,,,,59,,,,,700,2.24,1612.8
20808,10.0224638v1,10,,2,4,,8/31/2021,,,,30,,,,,360,2.41,896.52
20809,10.0247123v1,10,,2,2,,9/2/2021,,,,209,,,,,2500,1.29,3250.8
20810,10.0246933v1,10,,2,1,,8/31/2021,,,,5,,,,,60,2.29,164.88
20810,10.0247330v1,10,,2,1,,8/31/2021,,,,10,,,,,120,1.79,236.28
20811,10.0222029v1,10,,2,4,,8/31/2021,,,,10,,,,,120,2.58,340.56
20811,10.0247459v1,10,,2,4,,8/31/2021,,,,10,,,,,120,2.58,340.56
20811,10.0247476v1,10,,2,4,,8/31/2021,,,,10,,,,,120,2.58,340.56
20812,10.0247272v1,10,,2,4,,8/31/2021,,,,5,,,,,60,2.58,185.76
20813,10.0232251v2,10,,2,4,,8/31/2021,,,,20,,,,,240,2.41,607.32
20814,17.0247447v2,17,,9,1,,8/31/2021,,,,10,,,,,120,1.79,236.28
20814,40.0247423v2,40,,18,1,,8/31/2021,,,,10,,,,,120,1.79,236.28
20815,10.0247304v1,10,,2,1,,8/31/2021,,,,13,,,,,150,1.79,300.72
20815,10.0247303v1,10,,2,1,,8/31/2021,,,,13,,,,,150,1.79,300.72
20816,10.0232408v1,10,,2,4,,8/31/2021,,,,9,,,,,100,2.58,309.6
20817,12.0247436v1,12,,4,1,,9/2/2021,,,,5,,,,,60,1.96,141.12
20819,10.0245778v1,10,,2,4,,8/31/2021,,,,5,,,,,60,2.58,185.76
20819,10.0245773v2,10,,2,4,,8/31/2021,,,,5,,,,,60,2.58,185.76
20819,10.0245777v1,10,,2,4,,8/31/2021,,,,5,,,,,60,2.58,185.76
20820,10.0234631v2,10,,2,1,,8/31/2021,,,,20,,,,,240,1.79,451.08
20820,10.0234630v2,10,,2,1,,8/31/2021,,,,20,,,,,240,1.79,451.08
20821,12.0219050v2,12,,4,1,,9/2/2021,,,,9,,,,,100,1.96,235.2
20823,10.0247517v1,10,,2,4,,8/31/2021,,,,22,,,,,255,2.41,665.16
20824,10.023415v2,10,,2,4,,9/1/2021,,,,10,,,,,120,2.58,340.56
20825,10.0247252v1,10,,2,2,,9/2/2021,,,,100,,,,,1200,1.47,1781.64
20826,10.027780v9,10,,2,3,,9/1/2021,,,,167,,,,,2000,1.91,3850.56
20826,10.027780v10,10,,2,3,,9/1/2021,,,,167,,,,,2000,1.91,3850.56
20826,10.048849v11,10,,2,3,,9/1/2021,,,,34,,,,,400,2.41,1012.2
20827,17.0247394v1,17,,9,3,,8/31/2021,,,,30,,,,,350,2.41,896.52
20828,10.0247254v2,10,,2,2,,9/2/2021,,,,21,,,,,250,1.86,491.04
20829,10.0247356v1,10,,2,3,,8/31/2021,,,,84,,,,,1000,1.91,1948.2
20829,44.0247357v1,44,,21,3,,8/31/2021,,,,84,,,,,1000,1.99,2029.8
20830,10.0240294v4,10,,2,1,,8/31/2021,,,,84,,,,,1000,1.63,1662.6
20832,10.0225005v7,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20832,10.0225005v8,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20833,10.0245302v6,10,,2,2,,9/3/2021,,,,50,,,,,600,1.61,985.32
20834,10.0247862v1,10,,2,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20835,10.0244989v3,10,,2,2,,9/2/2021,,,,30,,,,,360,1.74,647.28
20836,10.0236345v1,10,,2,4,,9/1/2021,,,,5,,,,,60,2.58,185.76
20837,12.0247313v1,12,,4,1,,9/1/2021,,,,10,,,,,109,1.96,258.72
20837,10.0247724v1,10,,2,1,,9/1/2021,,,,10,,,,,109,1.96,258.72
20838,10.0229062v1,10,,2,4,,9/3/2021,,,,5,,,,,60,2.58,185.76
20839,10.029026v1,10,,2,1,,9/2/2021,,,,10,,,,,120,1.79,236.28
20840,10.0247430v1,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20841,10.0247532v1,10,,2,4,,9/1/2021,,,,5,,,,,60,2.58,185.76
20842,10.0247425v1,10,,2,1,,9/1/2021,,,,17,,,,,202,1.79,386.64
20844,10.0245860v1,10,,2,4,,9/1/2021,,,,9,,,,,100,2.58,309.6
20845,10.0217782v1,10,,2,3,,9/3/2021,,,,209,,,,,2500,1.62,4082.4
20847,10.0247075v2,10,,2,1,,9/3/2021,,,,42,,,,,500,1.79,923.64
20848,10.0243487v4,10,,2,1,,9/14/2021,,,,10,,,,,120,1.79,236.28
20849,10.0227001v1,10,,2,4,,9/2/2021,,,,21,,,,,250,2.41,636.24
20850,10.0244617v1,10,,2,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20850,10.0244616v1,10,,2,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20851,10.0247040v6,10,,2,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20852,10.0247736v2,10,,2,3,,9/2/2021,,,,10,,,,,120,2.58,340.56
20854,10.0247593v1,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20855,10.0245650v1,10,,2,3,,9/3/2021,,,,42,,,,,500,2.41,1243.56
20856,10.0242700v2,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20856,10.0242464v5,10,,2,4,,9/2/2021,,,,5,,,,,60,2.58,185.76
20857,40.0245269v1,40,,18,3,,9/2/2021,,,,13,,,,,150,2.49,418.32
20858,10.0246820v2,10,,2,2,,9/2/2021,,,,55,,,,,650,1.61,1081.92
20859,44.0247153v1,44,,21,4,,9/2/2021,,,,10,,,,,120,2.75,363
20860,10.0247893v1,10,,2,4,,9/2/2021,,,,9,,,,,105,2.58,309.6
20862,10.0247203v1,10,,2,3,,9/2/2021,,,,17,,,,,200,2.41,520.56
20863,10.0247719v1,10,,2,1,,9/2/2021,,,,17,,,,,200,1.79,386.64
20864,40.0247234v1,40,,18,3,,9/2/2021,,,,9,,,,,100,3.66,439.2
20865,10.0242991v1,10,,2,4,,9/2/2021,,,,9,,,,,100,2.58,309.6
20866,10.0246548v1,10,,2,1,,9/9/2021,,,,42,,,,,500,1.79,923.64
20867,40.0247212v1,40,,18,1,,9/2/2021,,,,18,,,,,206,1.79,408.12
20868,10.0240598v3,10,,2,3,,9/2/2021,,,,20,,,,,240,2.41,607.32
20869,40.0242582v1,40,,18,1,,9/2/2021,,,,24,,,,,288,1.79,537
20870,10.0244309v1,10,,2,3,,9/2/2021,,,,62,,,,,740,1.91,1443.96
20871,10.0247767v4,10,,2,3,,9/2/2021,,,,13,,,,,150,2.41,404.88
20872,10.0247976v1,10,,2,1,,9/2/2021,,,,24,,,,,280,1.79,537
20874,40.0229308v3,40,,18,1,,9/2/2021,,,,5,,,,,60,2.29,164.88
20875,10.0241533v2,10,,2,1,,9/3/2021,,,,20,,,,,240,1.79,451.08
20876,10.0245449v6,10,,2,3,,9/2/2021,,,,30,,,,,360,2.41,896.52
20877,10.0247158v1,10,,2,1,,9/2/2021,,,,10,,,,,115,1.96,258.72
20878,10.0247897v2,10,,2,3,,9/2/2021,,,,14,,,,,160,2.41,433.8
20879,10.0244505v1,10,,2,4,,9/3/2021,,,,9,,,,,100,2.58,309.6
20880,10.0246169v2,10,,2,4,,9/2/2021,,,,10,,,,,120,2.58,340.56
20881,10.0231712v16,10,,2,4,,9/8/2021,,,,20,,,,,240,2.41,607.32
20881,10.0224006v4,10,,2,4,,9/8/2021,,,,10,,,,,120,2.58,340.56
20881,10.0232423v8,10,,2,4,,9/8/2021,,,,5,,,,,60,2.58,185.76
20881,10.0232423v7,10,,2,4,,9/8/2021,,,,5,,,,,60,2.58,185.76
20881,10.0232423v6,10,,2,4,,9/8/2021,,,,5,,,,,60,2.58,185.76
20881,10.0224006v3,10,,2,4,,9/8/2021,,,,10,,,,,120,2.58,340.56
20881,10.0232423v3,10,,2,4,,9/8/2021,,,,5,,,,,60,2.58,185.76
20881,10.0232423v4,10,,2,4,,9/8/2021,,,,5,,,,,60,2.58,185.76
20881,10.0224343v7,10,,2,4,,9/8/2021,,,,10,,,,,120,2.58,340.56
20883,15.0247082v2,15,,7,3,,9/3/2021,,,,10,,,,,120,3.7,488.4
20883,10.0247080v2,10,,2,3,,9/3/2021,,,,5,,,,,60,3.66,263.52
20884,10.0247816v2,10,,2,1,,9/3/2021,,,,17,,,,,200,1.79,386.64
20886,40.0245291v1,40,,18,3,,9/3/2021,,,,60,,,,,720,3.9,2854.8
20887,10.0347827v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20888,10.0220564v1,10,,2,3,,9/3/2021,,,,20,,,,,240,2.41,607.32
20890,40.0345838v2,40,,18,1,,9/2/2021,,,,42,,,,,500,1.79,923.64
20891,10.0245939v2,10,,2,2,,9/3/2021,,,,123,,,,,1466,1.35,2008.8
20891,10.0245939v1,10,,2,2,,9/3/2021,,,,38,,,,,454,1.74,814.32
20892,10.0247908v3,10,,2,2,,9/3/2021,,,,42,,,,,500,1.74,897.84
20893,40.0247835v1,40,,18,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20895,40.0213316v1,40,,18,1,,9/3/2021,,,,13,,,,,155,1.79,300.72
20896,10.0236587v1,10,,2,4,,9/3/2021,,,,10,,,,,120,2.58,340.56
20897,10.029627v2,10,,2,3,,9/3/2021,,,,42,,,,,500,2.41,1243.56
20898,10.0227077v1,10,,2,4,,9/9/2021,,,,5,,,,,60,2.58,185.76
20898,10.0227078v1,10,,2,4,,9/9/2021,,,,5,,,,,60,2.58,185.76
20899,10.0239926v6,10,,2,1,,9/10/2021,,,,10,,,,,120,1.79,236.28
20899,10.0239926v7,10,,2,1,,9/10/2021,,,,10,,,,,120,1.79,236.28
20899,10.0239926v3,10,,2,1,,9/10/2021,,,,10,,,,,120,1.79,236.28
20900,10.0248116v4,10,,2,4,,9/3/2021,,,,21,,,,,250,2.41,636.24
20901,10.0246779v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20902,10.0248021v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20903,10.0223650v1,10,,2,1,,9/9/2021,,,,17,,,,,200,1.79,386.64
20903,10.0223650v2,10,,2,1,,9/9/2021,,,,25,,,,,300,1.79,558.48
20904,10.0248158v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20905,10.0216756v1,10,,2,1,,9/3/2021,,,,60,,,,,720,1.63,1193.16
20906,40.0247442v1,40,,18,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20906,40.0348018v1,40,,18,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20907,10.0245860v1,10,,2,1,,9/3/2021,,,,13,,,,,150,1.79,300.72
20908,10.0247797v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20909,10.0245331v4,10,,2,1,,9/3/2021,,,,40,,,,,480,1.79,880.68
20910,10.0248118v1,10,,2,3,,9/3/2021,,,,42,,,,,500,2.41,1243.56
20911,10.0247823v1,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20912,10.0248084v2,10,,2,1,,9/3/2021,,,,28,,,,,330,1.79,622.92
20913,10.0211390v1,10,,2,3,,9/3/2021,,,,17,,,,,200,2.41,520.56
20914,10.0247631v2,10,,2,4,,9/3/2021,,,,13,,,,,150,2.41,404.88
20915,10.0245786v3,10,,2,1,,9/7/2021,,,,30,,,,,360,1.79,665.88
20916,10.0246747v4,10,,2,1,,9/3/2021,,,,6,,,,,64,2.29,192.36
20917,10.0225934v1,10,,2,3,,9/3/2021,,,,42,,,,,500,2.41,1243.56
20918,40.0246077v1,40,,18,1,,9/7/2021,,,,50,,,,,600,1.71,1046.52
20918,40.0246078v2,40,,18,1,,9/7/2021,,,,34,,,,,400,1.79,751.8
20920,10.0243022v1,10,,2,1,,9/7/2021,,,,25,,,,,300,1.79,558.48
20921,10.0242577v2,10,,2,2,,9/7/2021,,,,23,,,,,275,1.86,535.68
20922,10.0247375v2,10,,2,1,,9/3/2021,,,,5,,,,,60,2.29,164.88
20923,40.0248006v1,40,,18,1,,9/7/2021,,,,6,,,,,66,2.29,192.36
20925,10.0247964v2,10,,2,1,,9/7/2021,,,,21,,,,,250,1.79,472.56
20927,10.0223650v1,10,,2,1,,9/10/2021,,,,30,,,,,360,1.79,665.88
20927,10.0223650v2,10,,2,1,,9/10/2021,,,,42,,,,,500,1.79,923.64
20928,10.0246039v1,10,,2,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20928,10.0246038v1,10,,2,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20929,10.0241869v2,10,,2,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20929,10.0241873v3,10,,2,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20930,10.0235644v2,10,,2,4,,9/21/2021,,,,5,,,,,60,2.58,185.76
20931,10.0247679v1,10,,2,2,,9/7/2021,,,,250,,,,,3000,1.29,3885.48
20932,10.0248223v2,10,,2,4,,9/10/2021,,,,5,,,,,60,2.58,185.76
20933,40.0248389v1,40,,18,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20934,10.0248395v1,10,,2,4,,9/7/2021,,,,21,,,,,250,2.41,636.24
20938,10.0246470v1,10,,2,2,,9/9/2021,,,,84,,,,,1001,1.47,1499.4
20939,10.0247542v1,10,,2,1,,9/7/2021,,,,17,,,,,200,1.79,386.64
20940,10.0248079v3,10,,2,1,,9/7/2021,,,,6,,,,,63,2.29,192.36
20941,10.0246311v2,10,,2,4,,9/7/2021,,,,61,,,,,725,1.91,1421.04
20942,10.0246111v3,10,,2,1,,9/8/2021,,,,10,,,,,120,1.79,236.28
20942,10.0246109v8,10,,2,1,,9/8/2021,,,,10,,,,,120,1.79,236.28
20943,10.0247306v2,10,,2,1,,9/9/2021,,,,42,,,,,500,1.79,923.64
20944,40.0221354v2,40,,18,3,,9/7/2021,,,,20,,,,,240,2.49,627.48
20945,10.0245984v2,10,,2,1,,9/7/2021,,,,5,,,,,60,2.29,164.88
20946,10.0247825v4,10,,2,1,,9/9/2021,,,,20,,,,,240,1.79,451.08
20946,10.0247824v4,10,,2,1,,9/9/2021,,,,20,,,,,240,1.79,451.08
20947,10.0248396v1,10,,2,4,,9/8/2021,,,,13,,,,,150,2.41,404.88
20948,10.0247644v2,10,,2,3,,9/9/2021,,,,34,,,,,400,2.41,1012.2
20951,40.0246140v1,40,,18,1,,9/13/2021,,,,5,,,,,60,2.29,164.88
20952,10.0248257v2,10,,2,3,,9/9/2021,,,,20,,,,,240,2.41,607.32
20955,10.0248461v1,10,,2,1,,9/8/2021,,,,20,,,,,240,1.79,451.08
20957,40.0247750v3,40,,18,1,,9/9/2021,,,,10,,,,,120,1.79,236.28
20958,10.0247848v1,10,,2,4,,9/9/2021,,,,10,,,,,120,2.58,340.56
20958,10.0247850v1,10,,2,4,,9/9/2021,,,,10,,,,,120,2.58,340.56
20960,10.0248446v1,10,,2,1,,9/8/2021,,,,31,,,,,366,1.79,687.36
20961,10.0248433v1,10,,2,1,,9/8/2021,,,,9,,,,,105,2.29,274.8
20962,10.0248218v3,10,,2,1,,9/8/2021,,,,5,,,,,60,2.29,164.88
20963,10.0225572v1,10,,2,3,,9/8/2021,,,,30,,,,,350,2.41,896.52
20964,10.0243793v1,10,,2,1,,9/10/2021,,,,34,,,,,400,1.79,751.8
20965,10.0241477v2,10,,2,1,,9/7/2021,,,,11,,,,,125,1.79,257.76
20966,10.0248540v1,10,,2,1,,9/10/2021,,,,5,,,,,60,2.29,164.88
20966,10.0248538v1,10,,2,1,,9/10/2021,,,,5,,,,,60,2.29,164.88
20966,10.0247868v2,10,,2,1,,9/10/2021,,,,5,,,,,60,2.29,164.88
20967,44.0248477v1,44,,21,3,,9/9/2021,,,,5,,,,,60,3.74,269.28
20968,10.0241670v2,10,,2,1,,9/14/2021,,,,5,,,,,60,2.29,164.88
20969,10.0248378v2,10,,2,4,,9/9/2021,,,,5,,,,,60,2.58,185.76
20970,10.0246745v2,10,,2,3,,9/9/2021,,,,17,,,,,200,2.41,520.56
20970,10.0247515v2,10,,2,3,,9/9/2021,,,,17,,,,,200,2.41,520.56
20970,10.0247512v3,10,,2,3,,9/9/2021,,,,9,,,,,100,3.58,429.6
20971,10.0248550v1,10,,2,1,,9/9/2021,,,,71,,,,,850,1.63,1408.32
20972,10.0248579v1,10,,2,4,,9/9/2021,,,,10,,,,,120,2.58,340.56
20973,10.0248085v3,10,,2,3,,9/9/2021,,,,30,,,,,360,2.41,896.52
20974,10.0348598v1,10,,2,1,,9/9/2021,,,,5,,,,,60,2.29,164.88
20976,10.0248590v1,10,,2,4,,9/9/2021,,,,10,,,,,110,2.58,340.56
20977,10.0248475v3,10,,2,1,,9/9/2021,,,,8,,,,,85,2.29,247.32
20977,10.0248476v3,10,,2,1,,9/9/2021,,,,8,,,,,85,2.29,247.32
