deal_source_ca,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
Organic Search,2602.64,1648.92,36725.28,0.00,3159610.73,2871.60,220.46,120.00,5000.00,0.00,267635.00,347.68,569.71,364.32,7824.96,3.60,691632.01,652.07,0.75,0.78,0.95,-10.05,914.81,0.43
Outbound,1790.79,1439.10,3252.96,1032.00,7163.16,1013.25,211.50,147.00,432.00,120.00,846.00,147.57,603.39,477.96,1163.28,294.36,2413.56,387.31,0.67,0.67,0.71,0.64,2.69,0.03
Paid Search,2521.80,1520.40,27214.29,458.70,688450.29,3590.65,250.68,120.00,5000.00,0.00,68437.00,515.08,582.95,357.72,8627.52,136.80,159144.12,903.00,0.76,0.76,0.90,0.61,207.83,0.05
Pre-Hubspot Contact,2616.14,1400.40,79234.12,0.00,4578240.77,4029.64,314.71,140.00,10000.00,0.00,550746.00,594.72,730.31,397.20,15230.40,135.84,1278047.06,1036.76,0.70,0.70,0.92,-6.38,1220.47,0.20
Referrals,2892.83,1837.15,32830.98,587.70,367389.68,3685.47,268.64,120.00,5404.00,0.00,34117.00,534.66,643.64,391.68,8716.80,152.64,81742.00,906.20,0.77,0.79,0.86,0.63,98.36,0.05
SAGE,3392.52,1683.00,96543.70,0.00,1811607.85,7514.80,481.04,173.00,20135.00,0.00,256875.00,1427.67,1025.34,477.06,30624.96,3.60,547531.04,2328.57,0.69,0.70,0.98,-0.46,368.87,0.08
Social Media,2164.83,2865.00,2865.00,764.50,6494.50,1212.72,183.33,250.00,250.00,50.00,550.00,115.47,472.32,517.44,670.56,228.96,1416.96,224.23,0.76,0.77,0.82,0.70,2.29,0.06
WT Outbound,2033.81,1205.40,8958.98,0.00,101690.67,1939.59,252.32,120.00,1409.00,0.00,12616.00,302.73,624.18,359.04,2621.28,152.64,31209.04,583.85,0.68,0.69,0.78,0.00,33.91,0.11
WT Reorder,3429.19,1934.40,26902.35,0.00,312056.25,4248.52,473.63,204.00,4695.00,0.00,43100.00,717.11,1056.23,517.44,8064.36,160.56,96117.18,1310.94,0.68,0.69,0.85,0.00,61.69,0.11
WT Strategic Partnerships,2127.63,1218.60,17572.50,0.00,189359.36,2482.17,243.33,120.00,2750.00,0.00,21656.00,376.42,604.82,357.72,4435.20,3.60,53828.76,670.94,0.69,0.71,0.98,-0.05,61.80,0.12
Webinar,4055.59,4098.76,6460.00,1608.00,12166.76,2426.29,550.67,502.00,1000.00,150.00,1652.00,427.08,1210.76,1034.88,2050.20,547.20,3632.28,766.78,0.70,0.68,0.75,0.66,2.09,0.05
