index,po_number,SKU,chassis,mfp_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_at,hs_client_type,hs_dealtype,hs_deal_id,Total SKU DZ on PO,unit_cost,fixed_cost,COGS int SKU Cost,COGS int SKU Cost exact,Total SKU on PO,cost_per_sku,COGS PKF Sock domestic SKU Cost,product_id,quantity,manufacturing_shipment_id,manufacturing_id,product_info_id,manufacturing_cart_id,units_produced,deal_id,mfc_created_at,ship_date,dozens,cost
52,25408,910284518v1,910,3000,25,5,44705,3/24/2022 21:43,Distributor,existingbusiness,8188840545,250,0.68,0,2048.16,2040,,,,,,,,,,,,,,,
53,26888,910295068v2,910,500,25,5,44736,5/24/2022 15:42,Distributor,existingbusiness,8856248909,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
54,26706,910296090v1,910,250,25,5,44729,5/17/2022 18:45,Distributor,existingbusiness,8891454989,21,0.76,90,290.64,280,,,,,,,,,,,,,,,
55,27915,9202103661v1,920,720,26,5,44791,7/25/2022 20:51,Direct,newbusiness,9272388930,60,1.04,90,851.28,838.8,,,,,,,,,,,,,,,
56,28204,9202105373v1,920,500,26,5,44806,8/1/2022 17:55,Distributor,existingbusiness,9343681604,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
57,28893,9202111237v1,920,500,26,5,44834,8/31/2022 19:03,Direct,existingbusiness,9909401409,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
58,23843,920215149v2,920,600,26,5,44637,1/14/2022 23:22,Wholesale,existingbusiness,7510739052,50,1.04,90,726.48,714,,,,,,,,,,,,,,,
59,37859,9202175923v3,920,2,26,5,45149,7/31/2023 19:43,Distributor,existingbusiness,14126279293,1,1.04,90,114.96,92.08,,,,,,,,,,,,,,,
60,38783,9202182151v1,920,2,26,5,45181,8/24/2023 22:35,Distributor,existingbusiness,14726068778,1,1.04,90,114.96,92.08,,,,,,,,,,,,,,,
61,39447,9202182151v2,920,1000,26,5,45217,9/15/2023 22:27,Distributor,existingbusiness,15156466851,84,1.04,90,1150.8,1130,,,,,,,,,,,,,,,
62,42215,9202182151v2,920,1000,26,5,45308,12/19/2023 18:02,Distributor,existingbusiness,16490774420,84,1.04,90,1150.8,1130,,,,,,,,,,,,,,,
63,42734,9202182151v2,920,3000,26,5,45323,1/2/2024 20:56,Distributor,existingbusiness,16624313418,250,1.04,0,3132.48,3120,,,,,,,,,,,,,,,
64,38818,9202182518v1,920,500,26,5,45189,8/25/2023 19:49,Distributor,existingbusiness,14781693753,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
65,21751,920232657v3,920,500,26,5,44523,10/26/2021 1:53,Distributor,existingbusiness,5990897280,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
66,24782,920232657v3,920,500,26,5,44650,2/28/2022 22:31,Distributor,existingbusiness,8003301778,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
67,26803,920232657v3,920,1200,26,5,44735,5/23/2022 15:37,Distributor,existingbusiness,8955860397,100,0.99,90,1289.88,1278,,,,,,,,,,,,,,,
68,29614,920232657v3,920,500,26,5,44862,9/26/2022 22:04,Distributor,existingbusiness,10317727340,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
69,32686,920232657v3,920,500,26,5,44988,1/13/2023 20:39,Distributor,existingbusiness,11673876016,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
70,32686,920232657v3,920,700,26,5,44993,1/13/2023 20:39,Distributor,existingbusiness,11673876016,59,1.04,90,838.8,818,,,,,,,,,,,,,,,
71,35637,920232657v3,920,720,26,5,45056,4/14/2023 18:41,Distributor,existingbusiness,12972900000,60,1.04,90,851.28,838.8,,,,,,,,,,,,,,,
72,37848,920232657v3,920,500,26,5,45160,7/28/2023 21:51,Distributor,existingbusiness,14107993472,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
73,40177,920232657v3,920,500,26,5,45230,10/10/2023 22:36,Distributor,existingbusiness,15525052022,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
74,40867,920232657v3,920,500,26,5,45260,11/1/2023 13:26,Distributor,existingbusiness,15865665933,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
75,42004,920232657v3,920,1200,26,5,45295,12/6/2023 23:32,Distributor,existingbusiness,16377338661,100,0.99,90,1289.88,1278,,,,,,,,,,,,,,,
76,42728,920232657v3,920,1250,26,5,45320,1/2/2024 20:56,Distributor,existingbusiness,16623950001,105,0.99,90,1349.28,1327.5,,,,,,,,,,,,,,,
77,26214,920243207v1,920,325,26,5,44718,4/29/2022 15:32,Distributor,existingbusiness,8721187385,28,1.04,90,451.92,428,,,,,,,,,,,,,,,
78,23188,920264404v1,920,2,26,5,44582,12/22/2021 2:32,Distributor,existingbusiness,6931424785,1,1.04,90,114.96,92.08,,,,,,,,,,,,,,,
79,23915,920272013v2,920,500,26,5,44634,1/17/2022 22:14,Direct,newbusiness,7402061829,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
80,23957,920272504v1,920,500,26,5,44774,1/19/2022 23:20,Distributor,newbusiness,7436793514,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
81,24775,920279989v1,920,1000,26,5,44652,3/1/2022 23:51,Distributor,newbusiness,7743117647,84,1.04,90,1150.8,1130,,,,,,,,,,,,,,,
82,24775,920280002v1,920,1000,26,5,44652,3/1/2022 23:51,Distributor,newbusiness,7743117647,84,1.04,90,1150.8,1130,,,,,,,,,,,,,,,
83,24775,920280926v1,920,100,26,5,44652,3/1/2022 23:51,Distributor,newbusiness,7743117647,9,1.04,90,214.8,194,,,,,,,,,,,,,,,
84,24775,920280927v1,920,100,26,5,44652,3/1/2022 23:51,Distributor,newbusiness,7743117647,9,1.04,90,214.8,194,,,,,,,,,,,,,,,
85,25740,920287981v1,920,1500,26,5,44690,4/7/2022 21:20,Distributor,existingbusiness,8198102543,125,0.99,90,1586.88,1575,,,,,,,,,,,,,,,
86,25881,920289961v1,920,500,26,5,44694,4/12/2022 21:32,Distributor,newbusiness,8061934899,42,1.04,90,626.64,610,,,,,,,,,,,,,,,
87,32614,932107036v1,93,241,120,10,44967,1/10/2023 16:41,Direct,existingbusiness,11647670828,21,1.42,0,374.88,342.22,,,,,,,,,,,,,,,
88,29077,932112666v1,93,120,120,10,44841,9/7/2022 2:36,Distributor,existingbusiness,10021537547,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
89,29322,932114558v1,93,240,120,10,44848,9/15/2022 19:53,distributor,existingbusiness,10186545171,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
90,29322,932114559v2,93,240,120,10,44848,9/15/2022 19:53,distributor,existingbusiness,10186545171,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
91,33274,932115040v4,93,125,120,10,44995,2/8/2023 20:50,Distributor,existingbusiness,10196117100,11,1.8,0,259.2,225,,,,,,,,,,,,,,,
92,29826,932115519v2,93,500,120,10,44869,10/3/2022 22:11,Direct,newbusiness,9872540294,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
93,29813,932117759v1,93,250,120,10,44860,10/3/2022 22:57,Direct,existingbusiness,10348620807,21,1.42,0,374.88,355,,,,,,,,,,,,,,,
94,29813,932117759v1,93,250,120,10,44862,10/3/2022 22:57,Direct,existingbusiness,10348620807,21,1.42,0,374.88,355,,,,,,,,,,,,,,,
95,37616,932117759v1,93,500,120,10,45135,7/6/2023 14:05,Direct,existingbusiness,13868630797,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
96,34420,932119418v2,93,240,120,10,45008,3/1/2023 23:58,Direct,existingbusiness,12325274780,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
97,31540,932122848v3,93,500,120,10,44932,11/28/2022 21:31,Direct,existingbusiness,9783079829,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
98,31540,932122850v2,93,500,120,10,44932,11/28/2022 21:31,Direct,existingbusiness,9783079829,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
99,31540,932122851v3,93,500,120,10,44932,11/28/2022 21:31,Direct,existingbusiness,9783079829,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
100,32262,932124830v3,93,500,120,10,44956,12/27/2022 18:37,Direct,existingbusiness,10527809954,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
101,30900,932125377v1,93,500,120,10,44907,11/8/2022 22:21,Direct,existingbusiness,10722435765,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
102,32631,932129682v6,93,1200,120,10,44981,1/18/2023 22:09,Direct,existingbusiness,11606134564,100,1.2,0,1454.4,1440,,,,,,,,,,,,,,,
103,31858,932130720v1,93,1000,120,10,44929,12/8/2022 16:19,Distributor,newbusiness,11130437124,84,1.24,0,1264.8,1240,,,,,,,,,,,,,,,
104,31801,932130881v1,93,360,120,10,44924,12/6/2022 22:09,Distributor,existingbusiness,11128842875,30,1.42,0,528.24,511.2,,,,,,,,,,,,,,,
105,34594,932130906v5,93,120,120,10,45022,3/8/2023 17:13,Direct,existingbusiness,12366328731,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
106,31526,932131937v3,93,120,120,10,44942,12/21/2022 22:50,Distributor,existingbusiness,10768482581,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
107,33142,932132287v4,93,120,120,10,44980,2/2/2023 16:36,Distributor,existingbusiness,11346680893,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
108,32370,932132579v1,93,120,120,10,44946,12/29/2022 17:49,Direct,newbusiness,11362595254,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
109,32157,932132623v3,93,1000,120,10,44936,12/19/2022 18:00,Direct,existingbusiness,11369247512,84,1.24,0,1264.8,1240,,,,,,,,,,,,,,,
110,32401,932132762v2,93,120,120,10,44971,12/29/2022 20:20,Direct,newbusiness,11237636493,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
111,33111,932133187v1,93,500,120,10,44988,2/2/2023 21:55,Direct,newbusiness,11235860743,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
112,32542,932133249v2,93,2,120,10,44946,1/6/2023 0:58,Distributor,existingbusiness,10033697976,1,1.8,0,43.2,3.6,,,,,,,,,,,,,,,
113,32301,932133466v1,93,500,120,10,44942,12/22/2022 21:34,Direct,newbusiness,9558332938,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
114,35499,932133466v1,93,150,120,10,45048,4/10/2023 22:23,Distributor,existingbusiness,12871216940,13,1.8,0,302.4,270,,,,,,,,,,,,,,,
115,37199,932133466v1,93,500,120,10,45118,6/14/2023 17:38,Direct,existingbusiness,13699389367,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
116,40607,932133466v1,93,205,120,10,45247,10/24/2023 16:39,Distributor,existingbusiness,15759281731,18,1.8,0,410.4,369,,,,,,,,,,,,,,,
117,42665,932133466v1,93,500,120,10,45310,12/21/2023 22:20,Direct,existingbusiness,16609827149,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
118,32398,932134030v1,93,2,120,10,44963,1/10/2023 15:20,Distributor,existingbusiness,11228088408,1,1.8,0,43.2,3.6,,,,,,,,,,,,,,,
119,35325,932134030v1,93,2000,120,10,45044,4/5/2023 14:42,Distributor,existingbusiness,12836944794,167,1.2,0,2419.2,2400,,,,,,,,,,,,,,,
120,32672,932134967v3,93,824,120,10,44967,1/12/2023 17:34,Distributor,existingbusiness,11603193465,69,1.24,0,1041.6,1021.76,,,,,,,,,,,,,,,
121,32713,932134969v5,93,120,120,10,44973,1/13/2023 15:35,Wholesale,newbusiness,11501171623,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
122,32560,932134985v1,93,2,120,10,44950,1/6/2023 20:01,Distributor,newbusiness,11568542540,1,1.8,0,43.2,3.6,,,,,,,,,,,,,,,
123,33089,932135099v1,93,120,120,10,44979,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
124,33089,932135101v1,93,120,120,10,44979,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
125,33089,932135103v1,93,120,120,10,44979,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
126,33089,932135104v1,93,120,120,10,44979,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
127,33089,932135105v1,93,120,120,10,44979,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
128,33089,932135106v1,93,120,120,10,44980,1/31/2023 0:57,Distributor,existingbusiness,11608480384,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
129,32608,932135269v1,93,500,120,10,44967,1/10/2023 15:48,Direct,existingbusiness,9870635616,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
130,34506,932135506v1,93,275,120,10,45014,3/4/2023 0:25,Distributor,newbusiness,11649895744,23,1.42,0,408.96,390.5,,,,,,,,,,,,,,,
131,32666,932135864v1,93,120,120,10,44971,1/13/2023 15:21,Distributor,existingbusiness,11664540014,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
132,35506,932135993v3,93,120,120,10,45054,4/17/2023 20:07,Direct,existingbusiness,12450964269,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
133,34625,932136030v2,93,500,120,10,45016,3/9/2023 22:48,Distributor,existingbusiness,11679028088,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
134,35439,932136030v2,93,370,120,10,45044,4/7/2023 15:38,Distributor,existingbusiness,12874235218,31,1.42,0,545.28,525.4,,,,,,,,,,,,,,,
135,36029,932136030v2,93,240,120,10,45071,5/1/2023 18:09,Distributor,existingbusiness,13173265057,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
136,37331,932136030v2,93,1212,120,10,45126,6/20/2023 23:54,Distributor,existingbusiness,13796424086,101,1.2,0,1468.8,1454.4,,,,,,,,,,,,,,,
137,37331,932136030v2,93,8,120,10,45128,6/20/2023 23:54,Distributor,existingbusiness,13796424086,1,1.8,0,43.2,14.4,,,,,,,,,,,,,,,
138,38507,932136030v2,93,1570,120,10,45181,8/15/2023 23:06,Distributor,existingbusiness,14636327974,131,1.2,0,1900.8,1884,,,,,,,,,,,,,,,
139,38507,932136030v2,93,30,120,10,45184,8/15/2023 23:06,Distributor,existingbusiness,14636327974,3,1.8,0,86.4,54,,,,,,,,,,,,,,,
140,40238,932136030v2,93,360,120,10,45232,10/11/2023 19:39,Distributor,existingbusiness,15549630750,30,1.42,0,528.24,511.2,,,,,,,,,,,,,,,
141,40586,932136030v2,93,500,120,10,45252,10/24/2023 16:22,Distributor,existingbusiness,15757912460,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
142,42650,932136030v2,93,1750,120,10,45309,12/20/2023 23:21,Distributor,existingbusiness,16609034802,146,1.2,0,2116.8,2100,,,,,,,,,,,,,,,
143,32729,932136067v1,93,300,120,10,44972,1/13/2023 20:22,Direct,newbusiness,11660340619,25,1.42,0,443.04,426,,,,,,,,,,,,,,,
144,32789,932136855v1,93,300,120,10,44974,1/17/2023 23:26,Direct,existingbusiness,11733879910,25,1.42,0,443.04,426,,,,,,,,,,,,,,,
145,33294,932138136v4,93,275,120,10,44995,2/8/2023 21:52,Distributor,newbusiness,11893027446,23,1.42,0,408.96,390.5,,,,,,,,,,,,,,,
146,33138,932138714v2,93,150,120,10,44980,2/2/2023 16:07,Distributor,existingbusiness,11821782852,13,1.8,0,302.4,270,,,,,,,,,,,,,,,
147,34492,932138714v2,93,300,120,10,45014,3/6/2023 23:12,Distributor,existingbusiness,12389149106,25,1.42,0,443.04,426,,,,,,,,,,,,,,,
148,37424,932138714v2,93,720,120,10,45133,6/28/2023 22:14,Distributor,existingbusiness,13820763661,60,1.24,0,907.68,892.8,,,,,,,,,,,,,,,
149,33168,932138792v1,93,130,120,10,44991,2/2/2023 19:16,Distributor,existingbusiness,11776423780,11,1.8,0,259.2,234,,,,,,,,,,,,,,,
150,33185,932139232v2,93,120,120,10,44992,2/3/2023 18:24,Distributor,existingbusiness,11852267817,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
151,34546,932139789v2,93,1,120,10,45002,3/6/2023 22:06,Distributor,existingbusiness,11843078726,1,1.8,0,43.2,1.8,,,,,,,,,,,,,,,
152,34956,932139789v3,93,5757,120,10,45054,3/23/2023 20:31,Distributor,existingbusiness,12673583274,480,1.06,0,6118.32,6102.42,,,,,,,,,,,,,,,
153,34973,932139789v3,93,4,120,10,45022,3/22/2023 20:24,Distributor,existingbusiness,12676751228,1,1.8,0,43.2,7.2,,,,,,,,,,,,,,,
154,33108,932140566v1,93,201,120,10,44985,1/31/2023 16:51,Distributor,existingbusiness,11876055704,17,1.8,0,388.8,361.8,,,,,,,,,,,,,,,
155,34025,932140625v2,93,240,120,10,44995,2/16/2023 16:03,Distributor,existingbusiness,11934275384,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
156,33126,932140720v1,93,200,120,10,44981,2/2/2023 16:36,Distributor,existingbusiness,11779168946,17,1.8,0,388.8,360,,,,,,,,,,,,,,,
157,33227,932140752v1,93,120,120,10,44995,2/13/2023 17:40,Direct,newbusiness,11720291157,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
158,33224,932141658v2,93,1200,120,10,44993,2/6/2023 17:04,Direct,existingbusiness,11945762324,100,1.2,0,1454.4,1440,,,,,,,,,,,,,,,
159,33185,932141738v1,93,120,120,10,44992,2/3/2023 18:24,Distributor,existingbusiness,11852267817,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
160,33260,932141827v1,93,240,120,10,44988,2/7/2023 14:59,Direct,newbusiness,11855055274,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
161,34213,932143666v2,93,200,120,10,45008,2/23/2023 15:26,Direct,existingbusiness,11891268153,17,1.8,0,388.8,360,,,,,,,,,,,,,,,
162,34213,932143666v2,93,640,120,10,45009,2/23/2023 15:26,Direct,existingbusiness,11891268153,54,1.31,0,864.6,838.4,,,,,,,,,,,,,,,
163,33355,932143698v2,93,600,120,10,44988,2/8/2023 23:11,Direct,newbusiness,12053538621,50,1.31,0,801.72,786,,,,,,,,,,,,,,,
164,33868,932143881v1,93,240,120,10,44999,2/9/2023 22:58,Direct,existingbusiness,12068495033,20,1.42,0,357.84,340.8,,,,,,,,,,,,,,,
165,34568,932144201v1,93,120,120,10,45014,3/7/2023 19:39,Direct,existingbusiness,12004750340,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
166,34130,932144295v1,93,120,120,10,45002,2/20/2023 21:59,Distributor,existingbusiness,12005486340,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
167,34406,932144645v7,93,500,120,10,45009,3/1/2023 21:25,Direct,existingbusiness,12053855129,42,1.31,0,675.96,655,,,,,,,,,,,,,,,
168,34130,932144866v3,93,120,120,10,45002,2/20/2023 21:59,Distributor,existingbusiness,12005486340,10,1.8,0,237.6,216,,,,,,,,,,,,,,,
